id,title,title_original,year,language,runtime
208949,Every Revolution Is a Throw of the Dice,Toute révolution est un coup de dés,1977,fr,11
208200,Antigone,Antigone,1992,de,100
26356,Medea,Medea,1970,it,118
208198,Moses and Aaron,Moses und Aron,1975,de,107
255706,Artemide's Knee,Le Genou d'Artémide,2008,fr,26
44379,The Gleaners and I,Les Glaneurs et la Glaneuse,2000,fr,82
593,Solaris,Солярис,1972,ru,107
11645,Ran,乱,1985,ja,160
252767,Baal,Baal,1970,de,87
531428,Portrait of a Lady on Fire,Portrait de la jeune fille en feu,2019,fr,121
4024,Last Year at Marienbad,L'Année dernière à Marienbad,1961,fr,95
5544,Hiroshima Mon Amour,Hiroshima Mon Amour,1959,fr,92
